prefectures,name,population,finance
1,札幌市 中央区,0.440378,0.3742
1,札幌市 北区,0.557562,0.2952
1,札幌市 東区,0.511746,0.2405
1,札幌市 白石区,0.408518,0.1993
1,札幌市 豊平区,0.424236,0.2944
1,札幌市 南区,0.292682,0.1855
1,札幌市 西区,0.422458,0.232
1,札幌市 厚別区,0.256984,0.1807
1,札幌市 手稲区,0.279288,0.1322
1,札幌市 清田区,0.233238,0.1361
2,仙台市 青葉区,0.582872,0.461
2,仙台市 宮城野区,0.380946,0.2152
2,仙台市 若林区,0.264612,0.1545
2,仙台市 太白区,0.441176,0.3104
2,仙台市 泉区,0.422366,0.3294
3,東京都 千代田区,0.09423,0.1318
3,東京都 中央区,0.245524,0.3896
3,東京都 港区,0.410262,0.5149
3,東京都 新宿区,0.652618,0.5528
3,東京都 文京区,0.413252,0.4642
3,東京都 台東区,0.351856,0.2164
3,東京都 墨田区,0.495212,0.3722
3,東京都 江東区,0.921638,1.0755
3,東京都 品川区,0.730604,0.6656
3,東京都 目黒区,0.53666,0.4817
3,東京都 大田区,1.386746,1.0834
3,東京都 世田谷区,1.754276,1.7407
3,東京都 渋谷区,0.408984,0.4021
3,東京都 中野区,0.6295,0.6118
3,東京都 杉並区,1.099138,1.178
3,東京都 豊島区,0.569356,0.4434
3,東京都 北区,0.671088,0.4959
3,東京都 荒川区,0.406592,0.2982
3,東京都 板橋区,1.071648,0.8157
3,東京都 練馬区,1.432248,1.3297
3,東京都 足立区,1.366852,0.7954
3,東京都 葛飾区,0.885172,0.6078
3,東京都 江戸川区,1.357934,1.0656
4,名古屋市 千種区,0.32003,0.3155
4,名古屋市 東区,0.146544,0.1546
4,名古屋市 北区,0.33157,0.1879
4,名古屋市 西区,0.28999,0.1816
4,名古屋市 中村区,0.272328,0.1574
4,名古屋市 中区,0.156706,0.1248
4,名古屋市 昭和区,0.211072,0.1917
4,名古屋市 瑞穂区,0.210122,0.1399
4,名古屋市 熱田区,0.129438,0.0727
4,名古屋市 中川区,0.443042,0.1997
4,名古屋市 港区,0.29843,0.0947
4,名古屋市 南区,0.28262,0.107
4,名古屋市 守山区,0.337102,0.1822
4,名古屋市 緑区,0.459184,0.2511
4,名古屋市 名東区,0.322024,0.2651
4,名古屋市 天白区,0.317586,0.2255
5,京都市 北区,0.244074,0.1257
5,京都市 上京区,0.166528,0.086
5,京都市 左京区,0.337604,0.1712
5,京都市 中京区,0.210612,0.1316
5,京都市 東山区,0.081056,0.0315
5,京都市 下京区,0.158574,0.1039
5,京都市 南区,0.197488,0.0783
5,京都市 右京区,0.405886,0.213
5,京都市 伏見区,0.56817,0.2379
5,京都市 山科区,0.27209,0.1318
5,京都市 西京区,0.305948,0.1996
6,大阪市 都島区,0.205264,0.1223
6,大阪市 福島区,0.13458,0.094
6,大阪市 此花区,0.131138,0.0456
6,大阪市 西区,0.166116,0.1066
6,大阪市 港区,0.169894,0.0689
6,大阪市 大正区,0.13902,0.0471
6,大阪市 天王寺区,0.13955,0.0898
6,大阪市 浪速区,0.12349,0.0436
6,大阪市 西淀川区,0.195008,0.0891
6,大阪市 東淀川区,0.35317,0.165
6,大阪市 東成区,0.160462,0.0815
6,大阪市 生野区,0.268018,0.0962
6,大阪市 旭区,0.18491,0.0918
6,大阪市 城東区,0.331664,0.2072
6,大阪市 阿倍野区,0.2127,0.1481
6,大阪市 住吉区,0.311144,0.1767
6,大阪市 東住吉区,0.261448,0.1221
6,大阪市 西成区,0.243944,0.0533
6,大阪市 淀川区,0.344156,0.2297
6,大阪市 鶴見区,0.222364,0.1138
6,大阪市 住之江区,0.25442,0.1237
6,大阪市 平野区,0.40001,0.1417
6,大阪市 北区,0.220784,0.1368
6,大阪市 中央区,0.157374,0.114
7,福岡市 東区,0.584398,0.3338
7,福岡市 博多区,0.425054,0.2617
7,福岡市 中央区,0.356858,0.3973
7,福岡市 南区,0.494192,0.3705
7,福岡市 西区,0.38656,0.3128
7,福岡市 城南区,0.257318,0.2036
7,福岡市 早良区,0.423106,0.3897
